ID	comment	sand(%)	silt(%)	clay(%)	Theta_r	Theta_s	Alpha	N	Ks	psi_inflec
301	NA	12	18	70	0.10091	0.50332	2.055	1.18412	2.01273E-06	-0.101059229
302	NA	12	20	68	0.10086	0.50353	2.026	1.19257	2.08407E-06	-0.106988336
303	NA	12	22	66	0.10082	0.50348	1.989	1.20175	2.18847E-06	-0.1138864
304	NA	12	24	64	0.10078	0.50318	1.944	1.21172	2.33813E-06	-0.121911158
305	NA	12	26	62	0.10074	0.50264	1.893	1.22254	2.52679E-06	-0.13112057
306	NA	12	28	60	0.10067	0.50186	1.835	1.23429	2.71475E-06	-0.141802837
307	NA	12	30	58	0.10058	0.50084	1.772	1.24707	2.8282E-06	-0.154084209
308	NA	12	32	56	0.10044	0.49961	1.703	1.26098	2.8066E-06	-0.168372062
309	NA	12	34	54	0.10025	0.49818	1.63	1.27615	2.66461E-06	-0.184886179
310	NA	12	36	52	0.09998	0.49662	1.554	1.29268	2.42377E-06	-0.203943465
311	NA	12	38	50	0.09963	0.49498	1.477	1.31063	2.17773E-06	-0.225719457
312	NA	12	40	48	0.09917	0.49332	1.401	1.33001	1.97727E-06	-0.250283142
313	NA	12	42	46	0.09858	0.49163	1.327	1.35078	1.81503E-06	-0.27774033
314	NA	12	44	44	0.09785	0.48987	1.254	1.37279	1.69155E-06	-0.308532947
315	NA	12	46	42	0.09692	0.48787	1.181	1.39572	1.6052E-06	-0.343197182
316	NA	12	48	40	0.09575	0.48542	1.106	1.41919	1.54586E-06	-0.382871804
317	NA	12	50	38	0.09429	0.4823	1.028	1.44282	1.50143E-06	-0.429006256
318	NA	12	52	36	0.09245	0.47841	0.95	1.46627	1.46337E-06	-0.481867825
319	NA	12	54	34	0.09025	0.47378	0.873	1.4893	1.42824E-06	-0.542499142
320	NA	12	56	32	0.08786	0.46868	0.799	1.51202	1.3998E-06	-0.611549758
321	NA	12	58	30	0.08544	0.46349	0.732	1.53458	1.38688E-06	-0.687149164
322	NA	12	60	28	0.083	0.45856	0.672	1.5568	1.39067E-06	-0.768781418
323	NA	12	62	26	0.08054	0.45423	0.622	1.57829	1.41014E-06	-0.851011082
324	NA	12	64	24	0.07809	0.45083	0.582	1.59866	1.45161E-06	-0.929487653
325	NA	12	66	22	0.07561	0.44856	0.551	1.61755	1.53431E-06	-1.000732864
326	NA	12	68	20	0.07308	0.44757	0.529	1.63464	1.6753E-06	-1.059686129
327	NA	12	70	18	0.07043	0.44797	0.515	1.64961	1.88702E-06	-1.103683962
328	NA	12	72	16	0.0676	0.44991	0.51	1.66224	2.18086E-06	-1.12715647
329	NA	12	74	14	0.06452	0.45357	0.512	1.67236	2.56843E-06	-1.132665363
330	NA	12	76	12	0.06117	0.45915	0.523	1.6799	3.06549E-06	-1.115968709
331	NA	12	78	10	0.05753	0.46688	0.542	1.68482	3.68873E-06	-1.081289665
332	NA	12	80	8	0.05368	0.47702	0.572	1.68703	4.45226E-06	-1.026458219
333	NA	12	82	6	0.04973	0.48986	0.614	1.68639	5.37241E-06	-0.95573804
334	NA	12	84	4	0.0459	0.50561	0.673	1.68273	6.47491E-06	-0.869299721
335	NA	12	86	2	0.04235	0.52404	0.755	1.67593	7.80011E-06	-0.770456955
336	NA	12	88	0	0.03915	0.54432	0.866	1.66621	9.40121E-06	-0.666109282
337	NA	14	0	86	0.10202	0.48423	1.852	1.13618	1.86938E-06	-0.083455358
338	NA	14	2	84	0.10177	0.4875	1.933	1.13838	1.87165E-06	-0.081246832
339	NA	14	4	82	0.10156	0.49037	2.006	1.14175	1.87447E-06	-0.08018781
340	NA	14	6	80	0.10134	0.4928	2.064	1.1461	1.87585E-06	-0.080307169
341	NA	14	8	78	0.10107	0.4948	2.105	1.15125	1.8741E-06	-0.081485585
342	NA	14	10	76	0.10077	0.49638	2.127	1.15707	1.87106E-06	-0.083694293
343	NA	14	12	74	0.10048	0.49757	2.134	1.16349	1.87397E-06	-0.08675463
344	NA	14	14	72	0.10025	0.49844	2.127	1.1705	1.89152E-06	-0.090668209
345	NA	14	16	70	0.1001	0.499	2.108	1.17811	1.9292E-06	-0.095428257
346	NA	14	18	68	0.09999	0.49928	2.08	1.1864	1.99028E-06	-0.101026967
347	NA	14	20	66	0.0999	0.49929	2.043	1.19541	2.07934E-06	-0.107582029
348	NA	14	22	64	0.09983	0.49905	1.997	1.20521	2.20311E-06	-0.11525812
349	NA	14	24	62	0.09975	0.49854	1.945	1.21587	2.36235E-06	-0.124069962
350	NA	14	26	60	0.09965	0.49779	1.886	1.22746	2.5301E-06	-0.134283148
351	NA	14	28	58	0.09953	0.49678	1.821	1.24005	2.64293E-06	-0.146083904
352	NA	14	30	56	0.09936	0.49555	1.75	1.25376	2.63384E-06	-0.15980615
353	NA	14	32	54	0.09914	0.49411	1.675	1.2687	2.48023E-06	-0.175655108
354	NA	14	34	52	0.09886	0.49251	1.596	1.285	2.28728E-06	-0.194076232
355	NA	14	36	50	0.09849	0.49083	1.515	1.30278	2.1162E-06	-0.215343777
356	NA	14	38	48	0.09802	0.48911	1.433	1.32208	1.96268E-06	-0.239810465
357	NA	14	40	46	0.09745	0.4874	1.353	1.34288	1.8156E-06	-0.267418918
358	NA	14	42	44	0.09673	0.48566	1.275	1.36505	1.68841E-06	-0.298451843
359	NA	14	44	42	0.09585	0.48377	1.198	1.38832	1.59706E-06	-0.333429537
360	NA	14	46	40	0.09475	0.48153	1.12	1.41232	1.53808E-06	-0.373410025
361	NA	14	48	38	0.09338	0.47872	1.04	1.43666	1.49866E-06	-0.419718024
362	NA	14	50	36	0.09167	0.47518	0.959	1.46099	1.46756E-06	-0.473471159
363	NA	14	52	34	0.08958	0.47086	0.88	1.48501	1.4391E-06	-0.53488591
364	NA	14	54	32	0.08721	0.46593	0.804	1.50863	1.41437E-06	-0.605002945
365	NA	14	56	30	0.08474	0.46076	0.733	1.53207	1.40193E-06	-0.684067765
366	NA	14	58	28	0.08224	0.45573	0.67	1.5553	1.40694E-06	-0.769726839
367	NA	14	60	26	0.07972	0.4512	0.616	1.57799	1.42891E-06	-0.859017219
368	NA	14	62	24	0.0772	0.44754	0.572	1.59972	1.47207E-06	-0.946777018
369	NA	14	64	22	0.07466	0.44498	0.537	1.62008	1.55389E-06	-1.029381229
370	NA	14	66	20	0.07208	0.44369	0.512	1.6387	1.69437E-06	-1.099052287
371	NA	14	68	18	0.06939	0.4438	0.495	1.65519	1.90716E-06	-1.154069666
372	NA	14	70	16	0.06654	0.44545	0.486	1.6692	2.20624E-06	-1.190018562
373	NA	14	72	14	0.06348	0.44879	0.486	1.68049	2.60869E-06	-1.201525392
374	NA	14	74	12	0.06016	0.45405	0.494	1.68889	3.1325E-06	-1.190356176
375	NA	14	76	10	0.05658	0.46144	0.51	1.69435	3.79522E-06	-1.158171841
376	NA	14	78	8	0.05278	0.47122	0.537	1.69679	4.61384E-06	-1.102115809
377	NA	14	80	6	0.04888	0.48369	0.575	1.6961	5.60691E-06	-1.028706447
378	NA	14	82	4	0.04507	0.4991	0.63	1.69215	6.80087E-06	-0.935888978
379	NA	14	84	2	0.04153	0.51733	0.705	1.68485	8.23602E-06	-0.831310097
380	NA	14	86	0	0.03832	0.53763	0.808	1.67441	9.96551E-06	-0.718988248
381	NA	16	0	84	0.10131	0.48173	1.919	1.13465	1.78333E-06	-0.079637551
382	NA	16	2	82	0.10107	0.4848	2.002	1.13742	1.79033E-06	-0.077903987
383	NA	16	4	80	0.10088	0.48747	2.075	1.14126	1.79817E-06	-0.07725491
384	NA	16	6	78	0.10069	0.48971	2.133	1.14602	1.80626E-06	-0.077667184
385	NA	16	8	76	0.10046	0.49152	2.172	1.15154	1.81361E-06	-0.079121284
386	NA	16	10	74	0.10017	0.49291	2.19	1.15773	1.82016E-06	-0.081621686
387	NA	16	12	72	0.09983	0.49392	2.19	1.16455	1.83012E-06	-0.085070741
388	NA	16	14	70	0.09952	0.49458	2.174	1.17199	1.85259E-06	-0.08945911
389	NA	16	16	68	0.09928	0.49495	2.146	1.1801	1.89694E-06	-0.094745847
390	NA	16	18	66	0.0991	0.49503	2.108	1.18892	1.96961E-06	-0.100970916
391	NA	16	20	64	0.09896	0.49484	2.061	1.19854	2.07461E-06	-0.108257742
392	NA	16	22	62	0.09883	0.49439	2.007	1.20901	2.21115E-06	-0.116672229
393	NA	16	24	60	0.0987	0.49367	1.946	1.22041	2.36252E-06	-0.126421366
394	NA	16	26	58	0.09854	0.49269	1.879	1.23282	2.48095E-06	-0.137689111
395	NA	16	28	56	0.09834	0.49147	1.806	1.24632	2.49438E-06	-0.15077005
396	NA	16	30	54	0.09809	0.49002	1.728	1.26103	2.35975E-06	-0.165964335
397	NA	16	32	52	0.09778	0.4884	1.646	1.27706	2.12753E-06	-0.183615694
398	NA	16	34	50	0.09739	0.48667	1.561	1.29456	1.94073E-06	-0.204147041
399	NA	16	36	48	0.09692	0.48491	1.475	1.31362	1.85193E-06	-0.227854194
400	NA	16	38	46	0.09634	0.48315	1.39	1.33429	1.77175E-06	-0.254954872
401	NA	16	40	44	0.09564	0.48141	1.305	1.35648	1.67091E-06	-0.286110239
402	NA	16	42	42	0.09478	0.4796	1.223	1.37995	1.58062E-06	-0.321116432
403	NA	16	44	40	0.09373	0.47754	1.141	1.40436	1.52043E-06	-0.361153484
404	NA	16	46	38	0.09243	0.475	1.059	1.42929	1.48475E-06	-0.407032573
405	NA	16	48	36	0.09084	0.47179	0.975	1.45439	1.46097E-06	-0.460890151
406	NA	16	50	34	0.08888	0.46782	0.893	1.47932	1.44045E-06	-0.522752523
407	NA	16	52	32	0.08657	0.46314	0.814	1.50387	1.42154E-06	-0.593739275
408	NA	16	54	30	0.08406	0.45804	0.74	1.52811	1.41086E-06	-0.674228157
409	NA	16	56	28	0.08151	0.45296	0.673	1.55221	1.4168E-06	-0.763517561
410	NA	16	58	26	0.07894	0.44827	0.615	1.57595	1.44091E-06	-0.858483172
411	NA	16	60	24	0.07635	0.44435	0.567	1.59892	1.48614E-06	-0.954334685
412	NA	16	62	22	0.07374	0.4415	0.529	1.62068	1.56697E-06	-1.045562774
413	NA	16	64	20	0.0711	0.43992	0.5	1.6408	1.70566E-06	-1.127632975
414	NA	16	66	18	0.06838	0.43974	0.48	1.65883	1.91962E-06	-1.194001651
415	NA	16	68	16	0.06551	0.44109	0.468	1.67434	2.22672E-06	-1.241255994
416	NA	16	70	14	0.06244	0.44413	0.465	1.68697	2.6448E-06	-1.26259132
417	NA	16	72	12	0.05915	0.44907	0.47	1.69646	3.19331E-06	-1.258890251
418	NA	16	74	10	0.0556	0.45612	0.483	1.70267	3.8937E-06	-1.231124841
419	NA	16	76	8	0.05186	0.46555	0.507	1.70552	4.76705E-06	-1.175501956
420	NA	16	78	6	0.04801	0.47766	0.542	1.70493	5.83465E-06	-1.099079917
421	NA	16	80	4	0.04423	0.49271	0.592	1.70079	7.12394E-06	-1.002942363
422	NA	16	82	2	0.0407	0.5107	0.662	1.69307	8.67514E-06	-0.891318394
423	NA	16	84	0	0.03749	0.53095	0.758	1.68199	1.05413E-05	-0.7713412
424	NA	18	0	82	0.10063	0.47903	1.993	1.13344	1.68456E-06	-0.075991445
425	NA	18	2	80	0.10039	0.4819	2.078	1.13672	1.69566E-06	-0.074673299
426	NA	18	4	78	0.1002	0.48437	2.151	1.141	1.7095E-06	-0.074388896
427	NA	18	6	76	0.10002	0.48641	2.207	1.14614	1.72549E-06	-0.075124124
428	NA	18	8	74	0.09981	0.48803	2.242	1.15203	1.74319E-06	-0.076895242
429	NA	18	10	72	0.09955	0.48923	2.256	1.15859	1.76227E-06	-0.07965729
430	NA	18	12	70	0.09922	0.49006	2.25	1.16581	1.78435E-06	-0.083419843
431	NA	18	14	68	0.09886	0.49053	2.226	1.17371	1.81602E-06	-0.088214592
432	NA	18	16	66	0.09853	0.49069	2.187	1.18233	1.86833E-06	-0.094074675
433	NA	18	18	64	0.09826	0.49056	2.138	1.19173	1.95121E-06	-0.100963361
434	NA	18	20	62	0.09804	0.49016	2.082	1.20199	2.0674E-06	-0.108921119
435	NA	18	22	60	0.09784	0.48948	2.018	1.21318	2.20528E-06	-0.118195264
436	NA	18	24	58	0.09763	0.48854	1.947	1.22538	2.32834E-06	-0.128982286
437	NA	18	26	56	0.09739	0.48734	1.872	1.23866	2.37201E-06	-0.141357293
438	NA	18	28	54	0.0971	0.48591	1.791	1.25313	2.27512E-06	-0.155801079
439	NA	18	30	52	0.09676	0.48428	1.706	1.26889	2.04434E-06	-0.172570598
440	NA	18	32	50	0.09635	0.48252	1.618	1.28607	1.79495E-06	-0.192058962
441	NA	18	34	48	0.09585	0.48071	1.527	1.3048	1.65163E-06	-0.214860474
442	NA	18	36	46	0.09527	0.4789	1.436	1.32516	1.62848E-06	-0.241209603
443	NA	18	38	44	0.09457	0.47714	1.346	1.34717	1.60404E-06	-0.271538262
444	NA	18	40	42	0.09373	0.47537	1.258	1.37066	1.5482E-06	-0.306163916
445	NA	18	42	40	0.09271	0.47344	1.171	1.39532	1.49517E-06	-0.345858711
446	NA	18	44	38	0.09148	0.47114	1.085	1.42072	1.46285E-06	-0.391349682
447	NA	18	46	36	0.08997	0.46825	0.999	1.44645	1.44609E-06	-0.444099531
448	NA	18	48	34	0.08813	0.46463	0.913	1.47218	1.43479E-06	-0.505908597
449	NA	18	50	32	0.08592	0.46027	0.831	1.49761	1.42417E-06	-0.576611713
450	NA	18	52	30	0.08342	0.45534	0.753	1.52265	1.41789E-06	-0.657987403
451	NA	18	54	28	0.08081	0.45024	0.683	1.54749	1.42554E-06	-0.748129854
452	NA	18	56	26	0.07818	0.44542	0.621	1.57211	1.45181E-06	-0.846571602
453	NA	18	58	24	0.07553	0.44127	0.568	1.59616	1.49921E-06	-0.949921149
454	NA	18	60	22	0.07286	0.43814	0.526	1.61917	1.57938E-06	-1.049969976
455	NA	18	62	20	0.07017	0.43626	0.494	1.6407	1.71785E-06	-1.141222897
456	NA	18	64	18	0.06739	0.43578	0.47	1.66024	1.93601E-06	-1.220929552
457	NA	18	66	16	0.0645	0.43683	0.455	1.67729	2.25158E-06	-1.279926833
458	NA	18	68	14	0.06142	0.43958	0.449	1.69139	2.68394E-06	-1.312347062
459	NA	18	70	12	0.05814	0.4442	0.451	1.70216	3.2558E-06	-1.317941785
460	NA	18	72	10	0.05463	0.45093	0.461	1.70934	3.99258E-06	-1.296690158
461	NA	18	74	8	0.05092	0.46002	0.482	1.71282	4.91962E-06	-1.243567406
462	NA	18	76	6	0.04711	0.47176	0.514	1.7125	6.06152E-06	-1.165856839
463	NA	18	78	4	0.04337	0.48646	0.56	1.70832	7.44712E-06	-1.066600073
464	NA	18	80	2	0.03985	0.50416	0.625	1.7003	9.11646E-06	-0.949614552
465	NA	18	82	0	0.03666	0.52432	0.715	1.68868	1.11219E-05	-0.822285686
466	NA	20	0	80	0.09997	0.47613	2.075	1.13255	1.58059E-06	-0.072501133
467	NA	20	2	78	0.09973	0.47879	2.161	1.13629	1.5938E-06	-0.07157981
468	NA	20	4	76	0.09953	0.48106	2.233	1.14097	1.61105E-06	-0.071642031
469	NA	20	6	74	0.09934	0.4829	2.285	1.14648	1.63322E-06	-0.072726874
470	NA	20	8	72	0.09914	0.48432	2.316	1.15273	1.66083E-06	-0.074775962
471	NA	20	10	70	0.09891	0.48534	2.325	1.15968	1.69358E-06	-0.077813558
472	NA	20	12	68	0.0986	0.48597	2.313	1.16731	1.73139E-06	-0.081861948
473	NA	20	14	66	0.09823	0.48625	2.281	1.17568	1.77758E-06	-0.087030414
474	NA	20	16	64	0.09782	0.4862	2.232	1.18484	1.84134E-06	-0.0933934
475	NA	20	18	62	0.09745	0.48586	2.172	1.19486	1.93316E-06	-0.100922548
476	NA	20	20	60	0.09712	0.48523	2.104	1.20581	2.05248E-06	-0.109696703
477	NA	20	22	58	0.09683	0.48433	2.03	1.21776	2.17579E-06	-0.11984043
478	NA	20	24	56	0.09652	0.48316	1.95	1.23081	2.24901E-06	-0.131628257
479	NA	20	26	54	0.09619	0.48175	1.865	1.24502	2.20196E-06	-0.145305565
480	NA	20	28	52	0.0958	0.48013	1.776	1.26051	2.00627E-06	-0.161193243
481	NA	20	30	50	0.09536	0.47836	1.684	1.27737	1.73265E-06	-0.179647566
482	NA	20	32	48	0.09484	0.47651	1.589	1.29572	1.51413E-06	-0.201225901
483	NA	20	34	46	0.09424	0.47466	1.494	1.31568	1.42257E-06	-0.226195398
484	NA	20	36	44	0.09353	0.47286	1.398	1.33732	1.43992E-06	-0.255379094
485	NA	20	38	42	0.0927	0.4711	1.304	1.3606	1.46176E-06	-0.288976016
486	NA	20	40	40	0.09171	0.46926	1.212	1.38529	1.45077E-06	-0.327578738
487	NA	20	42	38	0.09052	0.46715	1.121	1.41096	1.43313E-06	-0.372145757
488	NA	20	44	36	0.08908	0.46456	1.031	1.43718	1.42475E-06	-0.423753053
489	NA	20	46	34	0.08734	0.46129	0.942	1.46357	1.42343E-06	-0.483947476
490	NA	20	48	32	0.08524	0.45728	0.855	1.4898	1.42334E-06	-0.554314198
491	NA	20	50	30	0.08279	0.4526	0.774	1.51562	1.42476E-06	-0.634311508
492	NA	20	52	28	0.08015	0.44757	0.699	1.54111	1.43599E-06	-0.725394615
493	NA	20	54	26	0.07746	0.44266	0.633	1.56643	1.46461E-06	-0.825232247
494	NA	20	56	24	0.07475	0.43832	0.576	1.59136	1.51466E-06	-0.932010624
495	NA	20	58	22	0.07202	0.43491	0.53	1.61545	1.59748E-06	-1.038224596
496	NA	20	60	20	0.06926	0.43273	0.493	1.63822	1.73833E-06	-1.140897394
497	NA	20	62	18	0.06645	0.43194	0.466	1.65917	1.96053E-06	-1.230243819
498	NA	20	64	16	0.06352	0.4327	0.448	1.67773	2.28349E-06	-1.300410062
499	NA	20	66	14	0.06043	0.43514	0.438	1.69334	2.72904E-06	-1.347448814
500	NA	20	68	12	0.05714	0.43946	0.437	1.70551	3.32276E-06	-1.36378668
501	NA	20	70	10	0.05365	0.44587	0.445	1.71388	4.0937E-06	-1.348073595
502	NA	20	72	8	0.04998	0.45463	0.462	1.71821	5.07165E-06	-1.302811554
503	NA	20	74	6	0.04621	0.46601	0.491	1.71839	6.28527E-06	-1.226032655
504	NA	20	76	4	0.04249	0.48035	0.533	1.71437	7.76549E-06	-1.125929609
505	NA	20	78	2	0.03899	0.49774	0.594	1.70621	9.55223E-06	-1.003879597
506	NA	20	80	0	0.03582	0.51775	0.678	1.69419	1.16967E-05	-0.871077951
507	NA	22	0	78	0.09934	0.47301	2.164	1.13198	1.4735E-06	-0.06921993
508	NA	22	2	76	0.09908	0.47548	2.251	1.13613	1.48913E-06	-0.068637344
509	NA	22	4	74	0.09887	0.47754	2.32	1.14118	1.50985E-06	-0.069057612
510	NA	22	6	72	0.09866	0.47917	2.368	1.14706	1.53636E-06	-0.070452797
511	NA	22	8	70	0.09846	0.48039	2.393	1.15368	1.57027E-06	-0.072813027
512	NA	22	10	68	0.09822	0.4812	2.396	1.16101	1.61312E-06	-0.07612302
513	NA	22	12	66	0.09794	0.48165	2.376	1.16909	1.66586E-06	-0.080515026
514	NA	22	14	64	0.09758	0.48173	2.337	1.17795	1.72992E-06	-0.086002884
515	NA	22	16	62	0.09714	0.48148	2.279	1.18768	1.80965E-06	-0.092809966
516	NA	22	18	60	0.09666	0.48091	2.208	1.19834	1.90959E-06	-0.100954197
517	NA	22	20	58	0.09621	0.48005	2.129	1.21002	2.02196E-06	-0.110483131
518	NA	22	22	56	0.09579	0.47892	2.043	1.2228	2.11253E-06	-0.121624462
519	NA	22	24	54	0.09537	0.47754	1.953	1.23674	2.11717E-06	-0.134503542
520	NA	22	26	52	0.09493	0.47594	1.859	1.25193	1.97886E-06	-0.149464904
521	NA	22	28	50	0.09444	0.47417	1.762	1.26846	1.72132E-06	-0.166850683
522	NA	22	30	48	0.09389	0.4723	1.663	1.28644	1.46054E-06	-0.187070834
523	NA	22	32	46	0.09326	0.47042	1.562	1.30597	1.2942E-06	-0.210728925
524	NA	22	34	44	0.09254	0.46857	1.461	1.32714	1.24366E-06	-0.238277932
525	NA	22	36	42	0.09171	0.46679	1.362	1.35001	1.28328E-06	-0.270123278
526	NA	22	38	40	0.09073	0.46501	1.264	1.37445	1.34633E-06	-0.307165284
527	NA	22	40	38	0.08957	0.46306	1.168	1.40014	1.37876E-06	-0.349988288
528	NA	22	42	36	0.08818	0.46072	1.073	1.42665	1.39364E-06	-0.399884023
529	NA	22	44	34	0.08652	0.45779	0.979	1.45353	1.40568E-06	-0.45837878
530	NA	22	46	32	0.08453	0.45415	0.888	1.48041	1.41762E-06	-0.526536542
531	NA	22	48	30	0.08217	0.44979	0.802	1.50695	1.42925E-06	-0.605142802
532	NA	22	50	28	0.07953	0.44492	0.723	1.53307	1.44617E-06	-0.694396356
533	NA	22	52	26	0.07679	0.43999	0.652	1.55892	1.47873E-06	-0.794317628
534	NA	22	54	24	0.07401	0.43548	0.591	1.58451	1.53479E-06	-0.90173077
535	NA	22	56	22	0.07122	0.43182	0.54	1.60945	1.62325E-06	-1.012900489
536	NA	22	58	20	0.0684	0.42933	0.499	1.63327	1.76648E-06	-1.121940555
537	NA	22	60	18	0.06553	0.42824	0.468	1.65545	1.99192E-06	-1.220934713
538	NA	22	62	16	0.06256	0.42869	0.446	1.67539	2.32157E-06	-1.303649956
539	NA	22	64	14	0.05945	0.43083	0.433	1.69248	2.77928E-06	-1.362052966
540	NA	22	66	12	0.05617	0.43485	0.429	1.70612	3.39316E-06	-1.389888371
541	NA	22	68	10	0.05269	0.44095	0.433	1.71582	4.19567E-06	-1.387513459
542	NA	22	70	8	0.04904	0.44937	0.448	1.72122	5.22121E-06	-1.346619012
543	NA	22	72	6	0.04529	0.46041	0.473	1.72214	6.50337E-06	-1.27633768
544	NA	22	74	4	0.0416	0.47439	0.512	1.71851	8.07626E-06	-1.17585433
545	NA	22	76	2	0.03813	0.49146	0.569	1.71041	9.98014E-06	-1.051449695
546	NA	22	78	0	0.03497	0.51128	0.649	1.69819	1.22647E-05	-0.912950055
547	NA	24	0	76	0.09873	0.46968	2.259	1.13171	1.37339E-06	-0.066173049
548	NA	24	2	74	0.09846	0.47194	2.345	1.13624	1.38731E-06	-0.065939152
549	NA	24	4	72	0.09822	0.47379	2.412	1.14166	1.4093E-06	-0.066648104
550	NA	24	6	70	0.09799	0.47522	2.455	1.14789	1.43947E-06	-0.068335513
551	NA	24	8	68	0.09776	0.47622	2.473	1.15488	1.47863E-06	-0.070998665
552	NA	24	10	66	0.09751	0.47683	2.468	1.16264	1.52839E-06	-0.07463323
553	NA	24	12	64	0.09723	0.47707	2.44	1.17118	1.59118E-06	-0.079342946
554	NA	24	14	62	0.09687	0.47695	2.393	1.18057	1.66972E-06	-0.085179464
555	NA	24	16	60	0.09641	0.47649	2.327	1.19089	1.76459E-06	-0.092376472
556	NA	24	18	58	0.09587	0.4757	2.247	1.20223	1.86943E-06	-0.101035788
557	NA	24	20	56	0.0953	0.47462	2.156	1.21469	1.96406E-06	-0.111358951
558	NA	24	22	54	0.09473	0.47327	2.058	1.22831	2.00492E-06	-0.123482273
559	NA	24	24	52	0.09418	0.4717	1.958	1.24319	1.93099E-06	-0.137470221
560	NA	24	26	50	0.09361	0.46995	1.854	1.25938	1.7215E-06	-0.153816477
561	NA	24	28	48	0.09301	0.46808	1.748	1.27697	1.45438E-06	-0.172852255
562	NA	24	30	46	0.09234	0.46617	1.641	1.29606	1.24151E-06	-0.195041141
563	NA	24	32	44	0.0916	0.46429	1.535	1.31674	1.12772E-06	-0.220772665
564	NA	24	34	42	0.09075	0.46248	1.43	1.33908	1.1044E-06	-0.250729611
565	NA	24	36	40	0.08978	0.46072	1.327	1.36307	1.1575E-06	-0.285518093
566	NA	24	38	38	0.08865	0.45888	1.225	1.3885	1.25512E-06	-0.326197677
567	NA	24	40	36	0.0873	0.45676	1.125	1.415	1.32865E-06	-0.373572716
568	NA	24	42	34	0.0857	0.45414	1.027	1.44214	1.37295E-06	-0.428941252
569	NA	24	44	32	0.08379	0.45086	0.931	1.46948	1.40217E-06	-0.494110985
570	NA	24	46	30	0.08153	0.44687	0.84	1.49664	1.42566E-06	-0.569665501
571	NA	24	48	28	0.07894	0.44226	0.755	1.52334	1.45167E-06	-0.656826576
572	NA	24	50	26	0.07615	0.43738	0.679	1.54963	1.49233E-06	-0.754460719
573	NA	24	52	24	0.07331	0.43276	0.613	1.57566	1.55638E-06	-0.861008186
574	NA	24	54	22	0.07045	0.42887	0.557	1.6012	1.65158E-06	-0.973761149
575	NA	24	56	20	0.06757	0.42609	0.511	1.62582	1.79804E-06	-1.087815291
576	NA	24	58	18	0.06465	0.42469	0.476	1.64899	2.02682E-06	-1.193439149
577	NA	24	60	16	0.06164	0.42483	0.451	1.67013	2.36314E-06	-1.283400407
578	NA	24	62	14	0.05851	0.42666	0.434	1.68856	2.83274E-06	-1.354553327
579	NA	24	64	12	0.05521	0.43037	0.427	1.70363	3.46604E-06	-1.393647414
580	NA	24	66	10	0.05173	0.43616	0.428	1.71473	4.29869E-06	-1.402541308
581	NA	24	68	8	0.0481	0.44426	0.439	1.72137	5.36981E-06	-1.374383213
582	NA	24	70	6	0.04438	0.45496	0.461	1.72327	6.71871E-06	-1.310684798
583	NA	24	72	4	0.04071	0.46858	0.497	1.72029	8.38393E-06	-1.212993329
584	NA	24	74	2	0.03725	0.48532	0.55	1.71251	1.04069E-05	-1.089554682
585	NA	24	76	0	0.03412	0.50493	0.626	1.70032	1.28354E-05	-0.948112779
586	NA	26	0	74	0.09814	0.46613	2.359	1.13176	1.29675E-06	-0.06339202
587	NA	26	2	72	0.09785	0.46818	2.444	1.13665	1.30478E-06	-0.063458193
588	NA	26	4	70	0.09758	0.46982	2.507	1.14242	1.32278E-06	-0.0644644
589	NA	26	6	68	0.09733	0.47103	2.543	1.14901	1.35124E-06	-0.066464599
590	NA	26	8	66	0.09706	0.47182	2.554	1.1564	1.3912E-06	-0.06940972
591	NA	26	10	64	0.09677	0.47222	2.541	1.16459	1.44452E-06	-0.073336903
592	NA	26	12	62	0.09645	0.47224	2.504	1.17362	1.51407E-06	-0.078381516
593	NA	26	14	60	0.09607	0.47191	2.448	1.18357	1.60189E-06	-0.084592511
594	NA	26	16	58	0.0956	0.47123	2.374	1.19452	1.70359E-06	-0.092182448
595	NA	26	18	56	0.09502	0.47024	2.285	1.20658	1.8019E-06	-0.101361685
596	NA	26	20	54	0.09435	0.46896	2.184	1.21983	1.86406E-06	-0.112370478
597	NA	26	22	52	0.09365	0.46742	2.075	1.23434	1.84152E-06	-0.125425949
598	NA	26	24	50	0.09294	0.46569	1.963	1.25016	1.69464E-06	-0.140654314
599	NA	26	26	48	0.09224	0.46383	1.849	1.26735	1.45495E-06	-0.15842055
600	NA	26	28	46	0.09151	0.46191	1.735	1.28599	1.22363E-06	-0.179064128
601	NA	26	30	44	0.09072	0.46001	1.621	1.30616	1.07021E-06	-0.203165708
602	NA	26	32	42	0.08985	0.45818	1.51	1.32795	1.00095E-06	-0.231018003
603	NA	26	34	40	0.08888	0.45642	1.401	1.35137	9.96765E-07	-0.263427275
604	NA	26	36	38	0.08775	0.45465	1.294	1.37632	1.05914E-06	-0.301221582
605	NA	26	38	36	0.08643	0.4527	1.189	1.40253	1.1818E-06	-0.345376221
606	NA	26	40	34	0.08487	0.45036	1.086	1.42961	1.29291E-06	-0.397132531
607	NA	26	42	32	0.08304	0.44743	0.985	1.45714	1.36281E-06	-0.458201787
608	NA	26	44	30	0.08087	0.44381	0.888	1.48471	1.40836E-06	-0.529837692
609	NA	26	46	28	0.07836	0.43953	0.797	1.51191	1.44912E-06	-0.612994825
610	NA	26	48	26	0.07556	0.43482	0.715	1.53858	1.49982E-06	-0.706970616
