0     sand(%)     silt(%)     clay(%)
398     16     34     50
399     16     36     48
400     16     38     46
401     16     40     44
402     16     42     42
403     16     44     40
404     16     46     38
405     16     48     36
406     16     50     34
407     16     52     32
408     16     54     30
409     16     56     28
410     16     58     26
411     16     60     24
412     16     62     22
413     16     64     20
414     16     66     18
415     16     68     16
416     16     70     14
417     16     72     12
418     16     74     10
419     16     76     8
420     16     78     6
421     16     80     4
422     16     82     2
423     16     84     0
424     18     0     82
425     18     2     80
426     18     4     78
427     18     6     76
428     18     8     74
429     18     10     72
430     18     12     70
431     18     14     68
432     18     16     66
433     18     18     64
434     18     20     62
435     18     22     60
436     18     24     58
437     18     26     56
438     18     28     54
439     18     30     52
440     18     32     50
441     18     34     48
442     18     36     46
443     18     38     44
444     18     40     42
445     18     42     40
446     18     44     38
447     18     46     36
448     18     48     34
449     18     50     32
450     18     52     30
451     18     54     28
452     18     56     26
453     18     58     24
454     18     60     22
455     18     62     20
456     18     64     18
457     18     66     16
458     18     68     14
459     18     70     12
460     18     72     10
461     18     74     8
462     18     76     6
463     18     78     4
464     18     80     2
465     18     82     0
466     20     0     80
467     20     2     78
468     20     4     76
469     20     6     74
470     20     8     72
471     20     10     70
472     20     12     68
473     20     14     66
474     20     16     64
475     20     18     62
476     20     20     60
477     20     22     58
478     20     24     56
479     20     26     54
480     20     28     52
481     20     30     50
482     20     32     48
483     20     34     46
484     20     36     44
485     20     38     42
486     20     40     40
487     20     42     38
488     20     44     36
489     20     46     34
490     20     48     32
491     20     50     30
492     20     52     28
493     20     54     26
494     20     56     24
495     20     58     22
496     20     60     20
497     20     62     18
498     20     64     16
499     20     66     14
500     20     68     12
501     20     70     10
502     20     72     8
503     20     74     6
504     20     76     4
505     20     78     2
506     20     80     0
507     22     0     78
508     22     2     76
509     22     4     74
510     22     6     72
511     22     8     70
512     22     10     68
513     22     12     66
514     22     14     64
515     22     16     62
516     22     18     60
517     22     20     58
518     22     22     56
519     22     24     54
520     22     26     52
521     22     28     50
522     22     30     48
523     22     32     46
524     22     34     44
525     22     36     42
526     22     38     40
527     22     40     38
528     22     42     36
529     22     44     34
530     22     46     32
531     22     48     30
532     22     50     28
533     22     52     26
534     22     54     24
535     22     56     22
536     22     58     20
537     22     60     18
538     22     62     16
