 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 6.2026    Time:  22:51:37
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.0010  0.00000E+00  0.10000E+01 -0.20251E+03  0.10000E+01 -0.20302E-03  0.00000E+00  0.10000E-02 -0.20251E+00  0.10000E-02 -0.20302E-06  0.10000E+02 -0.42945E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47316E+02  0.20251E+00  0.00000E+00      1  0.00000E+00      0.000
       0.0020  0.00000E+00  0.10000E+01 -0.38529E+02  0.10000E+01 -0.20302E-03  0.00000E+00  0.20000E-02 -0.24104E+00  0.20000E-02 -0.40605E-06  0.10000E+02 -0.42684E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47353E+02  0.24104E+00  0.00000E+00      2  0.00000E+00      0.000
       0.0030  0.00000E+00  0.10000E+01 -0.30004E+02  0.10000E+01 -0.20302E-03  0.00000E+00  0.30000E-02 -0.27104E+00  0.30000E-02 -0.60907E-06  0.10000E+02 -0.42542E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47382E+02  0.27104E+00  0.00000E+00      3  0.00000E+00      0.000
       0.0040  0.00000E+00  0.10000E+01 -0.24563E+02  0.10000E+01 -0.20302E-03  0.00000E+00  0.40000E-02 -0.29560E+00  0.40000E-02 -0.81210E-06  0.10000E+02 -0.42451E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47406E+02  0.29560E+00  0.00000E+00      4  0.00000E+00      0.000
       0.0050  0.00000E+00  0.10000E+01 -0.20742E+02  0.10000E+01 -0.20302E-03  0.00000E+00  0.50000E-02 -0.31634E+00  0.50000E-02 -0.10151E-05  0.10000E+02 -0.42385E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47426E+02  0.31634E+00  0.00000E+00      5  0.00000E+00      0.000
       0.0060  0.00000E+00  0.10000E+01 -0.17993E+02  0.10000E+01 -0.20302E-03  0.00000E+00  0.60000E-02 -0.33434E+00  0.60000E-02 -0.12181E-05  0.10000E+02 -0.42331E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47443E+02  0.33434E+00  0.00000E+00      6  0.00000E+00      0.000
       0.0073  0.00000E+00  0.10000E+01 -0.15347E+02  0.10000E+01 -0.20302E-03  0.00000E+00  0.73000E-02 -0.35429E+00  0.73000E-02 -0.14821E-05  0.10000E+02 -0.42270E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47461E+02  0.35429E+00  0.00000E+00      7  0.00000E+00      0.000
       0.0090  0.00000E+00  0.10000E+01 -0.12995E+02  0.10000E+01 -0.20302E-03  0.00000E+00  0.89900E-02 -0.37625E+00  0.89900E-02 -0.18252E-05  0.10000E+02 -0.42189E+03 -0.43538E+03  0.00000E+00  0.00000E+00  0.47482E+02  0.37625E+00  0.00000E+00      8  0.00000E+00      0.000
